date,region,zone,indice_global,var_annuelle_pct
2018-01-01,Dakar,Ouest,81.06897000000001,
2018-02-01,Dakar,Ouest,81.31521,
2018-03-01,Dakar,Ouest,81.77072,
2018-04-01,Dakar,Ouest,82.54884,
2018-05-01,Dakar,Ouest,83.179,
2018-06-01,Dakar,Ouest,83.64095999999999,
2018-07-01,Dakar,Ouest,83.68381,
2018-08-01,Dakar,Ouest,83.437345,
2018-09-01,Dakar,Ouest,82.9255,
2018-10-01,Dakar,Ouest,82.29767,
2018-11-01,Dakar,Ouest,81.66139,
2018-12-01,Dakar,Ouest,81.302795,
2019-01-01,Dakar,Ouest,81.73096,0.8165763053360475
2019-02-01,Dakar,Ouest,82.00197999999999,0.8445775396755284
2019-03-01,Dakar,Ouest,82.45958,0.8424286835190031
2019-04-01,Dakar,Ouest,83.123805,0.6965149358852285
2019-05-01,Dakar,Ouest,83.83006,0.7827216004039572
2019-06-01,Dakar,Ouest,84.278915,0.7627303656007944
2019-07-01,Dakar,Ouest,84.62326999999999,1.1226305303259965
2019-08-01,Dakar,Ouest,84.29079,1.022857330851079
2019-09-01,Dakar,Ouest,83.86399,1.1317266703245732
2019-10-01,Dakar,Ouest,83.078485,0.9487692664932101
2019-11-01,Dakar,Ouest,82.48676999999999,1.010734693592652
2019-12-01,Dakar,Ouest,82.03073,0.895338222997144
2020-01-01,Dakar,Ouest,82.90225,1.4331044196715714
2020-02-01,Dakar,Ouest,83.37680999999999,1.6765814679108981
2020-03-01,Dakar,Ouest,84.07715999999999,1.9616641268364265
2020-04-01,Dakar,Ouest,85.12058,2.4021698717954454
2020-05-01,Dakar,Ouest,86.00101,2.589703502538332
2020-06-01,Dakar,Ouest,86.69626,2.8682678223847624
2020-07-01,Dakar,Ouest,86.85641,2.6389195312353175
2020-08-01,Dakar,Ouest,86.6274,2.7720822168115777
2020-09-01,Dakar,Ouest,86.18078,2.7625563725265145
2020-10-01,Dakar,Ouest,85.30205000000001,2.67646310594134
2020-11-01,Dakar,Ouest,84.54196,2.491538946184968
2020-12-01,Dakar,Ouest,84.01991000000001,2.4249205145437713
2021-01-01,Dakar,Ouest,84.51121,1.940791715544532
2021-02-01,Dakar,Ouest,84.92759000000001,1.8599656187374025
2021-03-01,Dakar,Ouest,85.648,1.8683314231831893
2021-04-01,Dakar,Ouest,86.73691,1.8988709898358103
2021-05-01,Dakar,Ouest,87.71394,1.9917556782181878
2021-06-01,Dakar,Ouest,88.49374,2.0733074298706855
2021-07-01,Dakar,Ouest,88.65455,2.0702444413716936
2021-08-01,Dakar,Ouest,88.44034,2.0928020464656916
2021-09-01,Dakar,Ouest,87.93244,2.032541362470841
2021-10-01,Dakar,Ouest,87.44382999999999,2.510818907634671
2021-11-01,Dakar,Ouest,86.82439,2.6997599771758196
2021-12-01,Dakar,Ouest,86.47400999999999,2.920855306795711
2022-01-01,Dakar,Ouest,88.05537,4.1937158395909835
2022-02-01,Dakar,Ouest,89.47215,5.351099683860094
2022-03-01,Dakar,Ouest,91.04732,6.304081823276664
2022-04-01,Dakar,Ouest,92.96522999999999,7.180703117046705
2022-05-01,Dakar,Ouest,95.06956,8.385919045478985
2022-06-01,Dakar,Ouest,96.54258,9.095377819945227
2022-07-01,Dakar,Ouest,97.62946,10.123462360363899
2022-08-01,Dakar,Ouest,98.12016,10.94502802680315
2022-09-01,Dakar,Ouest,98.30151000000001,11.792087197853274
2022-10-01,Dakar,Ouest,98.25618,12.364908993579093
2022-11-01,Dakar,Ouest,98.03702,12.914147741204985
2022-12-01,Dakar,Ouest,96.59614499999999,11.705407208478015
2023-01-01,Dakar,Ouest,95.80708,8.803222336127824
2023-02-01,Dakar,Ouest,96.72872,8.11042318755053
2023-03-01,Dakar,Ouest,97.84857,7.470016690222181
2023-04-01,Dakar,Ouest,99.18575,6.691232840493178
2023-05-01,Dakar,Ouest,100.62346,5.8419330014780835
2023-06-01,Dakar,Ouest,101.76433999999999,5.408763677125661
2023-07-01,Dakar,Ouest,102.218805,4.70077884277964
2023-08-01,Dakar,Ouest,102.10052999999999,4.056628118013661
2023-09-01,Dakar,Ouest,101.98056,3.74261799233806
2023-10-01,Dakar,Ouest,101.59675,3.3998573931939946
2023-11-01,Dakar,Ouest,101.15503,3.1804414291662475
2023-12-01,Dakar,Ouest,98.98459,2.472609025960626
2024-01-01,Dakar,Ouest,98.04965,2.3407142770659473
2024-02-01,Dakar,Ouest,98.55395,1.8869576688288703
2024-03-01,Dakar,Ouest,99.32428,1.5081569408730289
2024-04-01,Dakar,Ouest,100.35907,1.1829521881923544
2024-05-01,Dakar,Ouest,101.44132,0.8127925634837219
2024-06-01,Dakar,Ouest,102.28032,0.5070341929206412
2024-07-01,Dakar,Ouest,102.62727999999998,0.3996084673460798
2024-08-01,Dakar,Ouest,102.44172999999999,0.33418043961181976
2024-09-01,Dakar,Ouest,102.345755,0.35810256386119566
2024-10-01,Dakar,Ouest,102.01782,0.41445223395433217
2024-11-01,Dakar,Ouest,101.83031999999999,0.6675792592815144
2024-12-01,Dakar,Ouest,99.54618,0.5673509381611819
2025-01-01,Dakar,Ouest,98.87369,0.8404313528911134
2025-02-01,Dakar,Ouest,99.59398,1.055290021353783
2025-03-01,Dakar,Ouest,100.62441,1.3089750059099403
2025-04-01,Dakar,Ouest,101.92054999999999,1.5558932540925108
2025-05-01,Dakar,Ouest,103.31205,1.8441498986803362
2025-06-01,Dakar,Ouest,104.26455,1.9399919749957695
2025-07-01,Dakar,Ouest,104.76926,2.0871448605088494
2025-08-01,Dakar,Ouest,104.77759,2.280184061710022
2025-09-01,Dakar,Ouest,104.64260999999999,2.244211301191723
2025-10-01,Dakar,Ouest,104.49725,2.4303891222141383
2025-11-01,Dakar,Ouest,104.09658,2.22552575696513
2025-12-01,Dakar,Ouest,101.96526,2.4301083175667815
2026-01-01,Dakar,Ouest,99.32496,0.4564105982086897
2026-02-01,Dakar,Ouest,100.44987,0.8593792516375043
2026-03-01,Dakar,Ouest,101.88637999999999,1.2541390304797728
2026-04-01,Dakar,Ouest,103.02629,1.0849038785603282
2026-05-01,Dakar,Ouest,104.35418000000001,1.0087206671438809
2018-01-01,Diourbel,Centre,79.09806999999999,
2018-02-01,Diourbel,Centre,79.23237999999999,
2018-03-01,Diourbel,Centre,79.82408000000001,
2018-04-01,Diourbel,Centre,80.709195,
