date,region,produit,division_code,categorie,unite,prix_moyen,var_mensuelle_pct,var_annuelle_pct,prix_ma3,prix_reel
2018-01-01,Dakar,Essence super (SP95),D07,Énergie,litre,763.6,,,763.6,955.8902252360532
2018-02-01,Dakar,Essence super (SP95),D07,Énergie,litre,762.5,-0.14405447878470534,,763.05,952.0266789513944
2018-03-01,Dakar,Essence super (SP95),D07,Énergie,litre,760.7,-0.2360655737704831,,762.2666666666668,943.3309746628071
2018-04-01,Dakar,Essence super (SP95),D07,Énergie,litre,764.8,0.5389772577888641,,762.6666666666666,939.5383566736812
2018-05-01,Dakar,Essence super (SP95),D07,Énergie,litre,762.5,-0.30073221757321855,,762.6666666666666,928.9779054429099
2018-06-01,Dakar,Essence super (SP95),D07,Énergie,litre,761.4,-0.14426229508196498,,762.9,922.366636468992
2018-07-01,Dakar,Essence super (SP95),D07,Énergie,litre,767.4,0.7880220646178104,,763.7666666666668,928.8653547659183
2018-08-01,Dakar,Essence super (SP95),D07,Énergie,litre,762.5,-0.638519676830851,,763.7666666666668,924.9699304709626
2018-09-01,Dakar,Essence super (SP95),D07,Énergie,litre,766.2,0.4852459016393418,,765.3666666666667,935.7056086384695
2018-10-01,Dakar,Essence super (SP95),D07,Énergie,litre,766.6,0.052205690420259465,,765.1,944.3379495839181
2018-11-01,Dakar,Essence super (SP95),D07,Énergie,litre,766.8,0.026089225149994455,,766.5333333333333,952.5511844956586
2018-12-01,Dakar,Essence super (SP95),D07,Énergie,litre,765.0,-0.23474178403755097,,766.1333333333333,955.1065595596103
2019-01-01,Dakar,Essence super (SP95),D07,Énergie,litre,762.9,-0.2745098039215743,-0.09167103195391046,764.9,947.2146843669227
2019-02-01,Dakar,Essence super (SP95),D07,Énergie,litre,762.7,-0.02621575566914558,0.02622950819672898,763.5333333333333,943.6791076691117
2019-03-01,Dakar,Essence super (SP95),D07,Énergie,litre,762.1,-0.07866789038940558,0.18404101485474111,762.5666666666666,937.0022721020272
2019-04-01,Dakar,Essence super (SP95),D07,Énergie,litre,756.3,-0.7610549796614685,-1.1114016736401666,760.3666666666667,920.9191897173604
2019-05-01,Dakar,Essence super (SP95),D07,Énergie,litre,765.1,1.1635594340870137,0.3409836065573879,761.1666666666666,923.6523859174918
