date,cout_panier,ihpc,cout_panier_reel
2018-01-01,101470.276,79.8836498,127022.58378785291
2018-02-01,102695.95,80.0922933,128222.0120921422
2018-03-01,104334.08400000002,80.6397776,129382.90147268462
2018-04-01,106873.699,81.4016793,131291.76193788915
2018-05-01,108742.96100000001,82.07945480000001,132484.9942838558
2018-06-01,110125.372,82.54851919999999,133406.8412943742
2018-07-01,109805.672,82.6169257,132909.4142267267
2018-08-01,108308.829,82.4351122,131386.7672518313
2018-09-01,106679.07200000001,81.88472879999999,130279.56929619827
2018-10-01,103990.592,81.1785654,128101.04673271303
2018-11-01,102416.158,80.4996112,127225.65546999808
2018-12-01,101352.52000000002,80.09577490000001,126539.1590586884
2019-01-01,101714.242,80.54140340000001,126288.14213088319
2019-02-01,103155.74599999998,80.82196520000001,127633.30580335848
2019-03-01,105223.78600000001,81.3338476,129372.68935989696
2019-04-01,107683.12000000001,82.1244696,131121.84532148263
2019-05-01,110061.70199999999,82.834193,132869.89106056723
2019-06-01,110586.45999999999,83.34226290000001,132689.53367955645
2019-07-01,110488.068,83.5972669,132167.08164893367
2019-08-01,109320.168,83.3251616,131197.06688933683
2019-09-01,107182.06000000001,82.7979424,129450.14923462641
2019-10-01,104584.77799999999,82.0541439,127458.25259898909
2019-11-01,102761.51800000001,81.348279,126322.91581730942
2019-12-01,101601.79500000001,80.9186327,125560.44462179848
2020-01-01,102997.25600000001,81.8337868,125861.52984918452
2020-02-01,104296.78600000001,82.2733484,126768.61708961392
2020-03-01,106916.962,83.08981039999999,128676.38220053034
2020-04-01,109515.204,84.1441046,130151.96313587012
2020-05-01,111756.38400000002,85.1116887,131305.56531890316
2020-06-01,112947.11000000002,85.89115790000001,131500.27635149626
2020-07-01,113220.59900000002,86.07981079999999,131529.79536985693
2020-08-01,111589.204,85.7723411,130099.28675014328
2020-09-01,109268.23000000001,85.18980020000001,128264.45154639534
2020-10-01,107046.68700000002,84.3209668,126951.44643431676
2020-11-01,104607.4,83.5428674,125214.0407141448
2020-12-01,103702.13500000001,82.9845578,124965.58124697267
